Institute ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,PR,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,GMS,GPHD,RD,WD,ESCS,PCS
IR-E-U-0844,"Indian Institute of Technology, Tirupati",Yerpedu,Andhra Pradesh,49.8,59,75.5,18.49,62.71,58.15,32.52,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-C-6379,Netaji Subhas University of Technology (NSUT),South West,Delhi,49.68,60,68.96,23.44,75.55,46.27,22.25,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-C-7252,Manipal Institute of Technology,Manipal,Karnataka,49.62,61,65.74,35.65,54.01,62.25,21.78,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0555,Graphic Era University,Dehradun,Uttarakhand,49.59,62,64.1,32.12,53.76,68.53,31.23,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-C-37013,PSG College of Technology,Coimbatore,Tamil Nadu,49.43,63,64.51,29.98,54.9,47.21,53.86,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,49.3,64,71.38,46.01,34.86,69.33,1.94,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,49,65,57.79,40.93,66.01,51.56,10.17,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,48.87,66,61.03,44.04,47.51,66.76,11.7,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0906,Indian Institute of Technology Jammu,Jammu,Jammu and Kashmir,48.15,67,74.62,21.51,57.32,56.55,22.01,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,47.93,68,64.41,21.26,72.53,73.04,4.16,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0878,Indian Institute of Technology Palakkad,Palakkad,Kerala,47.86,69,71.97,17.51,61.18,65.98,21.78,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0092,"National Institute of Technology, Raipur",Raipur,Chhattisgarh,47.69,70,55.59,40.36,64.35,55.81,4.51,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0042,University of Hyderabad,Hyderabad,Telangana,47.51,71,59.36,45.92,54.33,43.21,7.27,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0619,National Institute of Technology Meghalaya,Shillong,Meghalaya,47.27,72,67.55,31.37,57.65,55.41,5.22,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-C-41593,"College of Engineering, Pune",Pune,Maharashtra,46.89,73,65.5,22.62,66.89,51.62,19.1,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0221,International Institute of Information Technology Bangalore,Bengaluru,Karnataka,46.58,74,67.24,20.86,63.07,58.61,16.78,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,New Delhi,Delhi,46.57,75,51.99,36.68,69.89,47.33,12.59,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0749,Manipal University Jaipur,Jaipur,Rajasthan,46.39,76,58.57,33.3,61.23,63.5,2.32,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-C-36995,Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,46.03,77,63.67,24.55,64.1,49.95,17.57,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-C-1331,M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,45.99,78,65.79,22.31,61.93,55.66,15.97,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0535,Rajiv Gandhi Institute of Petroleum Technology,Amethi,Uttar Pradesh,45.97,79,76.68,12.55,68.5,54.57,0.4,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0284,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,45.9,80,54.03,32.76,65.79,60.68,6.26,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0946,Indian Institute of Technology Bhilai,Raipur,Chhattisgarh,45.86,81,73.09,13.54,65.54,59.29,8.26,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0197,National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,45.7,82,58.44,26.62,64.89,59.67,12.3,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0017,Jawaharlal Nehru Technological University,Hyderabad,Telangana,44.75,83,65.91,27.62,49.71,55.17,12.3,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,44.31,84,55.33,33.69,56.26,46.54,17.04,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0043,"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,43.74,85,63.21,27.18,48.67,61.13,7.93,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-C-16626,Rajalakshmi Engineering College,Chennai,Tamil Nadu,43.46,86,65.55,14.62,62.3,63.29,6.26,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,43.43,87,59.49,34.78,38.33,65.91,8.91,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Gwalior,Madhya Pradesh,43.41,88,52.56,20.81,74.64,58.08,6.6,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0516,Indian Institute of Information Technology Allahabad,Prayagraj (Allahabad),Uttar Pradesh,43.29,89,45.02,21.94,77.31,53.63,23.85,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0620,National Institute of Technology Goa,Ponda,Goa,43.28,90,59.25,23.92,56.69,58.46,11.4,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0493,National Institute of Technology Agartala,Agratala,Tripura,43.24,91,54.36,28.21,59.38,59.61,6.26,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0373,Chitkara University,Rajpura,Punjab,42.48,92,47.51,30.88,52.35,62.84,22.25,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0899,Indian Institute Of Technology Dharwad,Dharwad,Karnataka,42.36,93,64.84,15.16,57.36,39.17,29.69,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-C-24004,AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,42.32,94,59.16,12.98,72.07,56.81,5.92,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0613,National Institute of Technology Manipur,Imphal,Manipur,42.28,95,63.06,20.62,53.37,61.24,3.79,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-C-1269,R.V. College of Engineering,Bengaluru,Karnataka,42.22,96,63.55,17.05,57.16,52.04,14.03,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0286,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM)",Jabalpur,Madhya Pradesh,42.14,97,44.65,30.48,68.44,56.03,3.06,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-C-19754,SR University,Warangal,Telangana,42.09,98,65.32,15.79,51.98,62.66,10.79,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-U-0155,"Amity University Haryana, Gurgaon","Gurugram, Haryana",Haryana,41.99,99,64.15,21.73,45.29,63.74,7.93,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
IR-E-C-30045,"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,41.93,100,69.79,5.7,58.27,69.95,6.26,19.038,28.557,19.038,28.557,33.7435,38.564,14.4615,9.641,31.956,11.9835,19.9725,15.978,18.978,18.978,12.652,12.652
